negara,kategori_produk,berita,peluang_penerimaan
Jepang,Kopi,"Permintaan untuk kopi Jepang terus meningkat di pasar internasional.",Tinggi
Amerika Serikat,Elektronik,"Pasar elektronik di AS berkembang pesat dengan inovasi terbaru.",Sedang
Jerman,Kopi,"Jerman menjadi salah satu pasar kopi yang berkembang pesat.",Tinggi
Australia,Produk Makanan,"Australia dikenal dengan produk makanan organik yang berkualitas tinggi.",Sangat Tinggi
Kanada,Kosmetik,"Industri kosmetik Kanada semakin berkembang dengan produk berbasis alami.",Tinggi
Inggris,Kopi,"Kopi dari Inggris semakin dikenal di pasar global.",Sedang
Prancis,Produk Herbal,"Prancis terkenal dengan produk herbal berkualitas tinggi yang menjadi pilihan utama konsumen.",Sedang
Korea Selatan,Kopi,"Kerajinan kopi Korea Selatan mulai merambah ke pasar internasional berkat keunikan rasa.",Tinggi
India,Pakaian,"Industri tekstil India menghasilkan berbagai jenis pakaian dengan kualitas dan keanekaragaman.",Sedang
Italia,Furnitur,"Furnitur Italia dikenal dengan gaya dan kualitasnya yang tinggi.",Tinggi
Singapura,Produk Makanan,"Pasar produk makanan di Singapura sangat beragam dan terus berkembang.",Sedang
Thailand,Kerajinan,"Kerajinan tangan Thailand semakin terkenal di pasar global.",Sedang
Vietnam,Pakaian,"Pakaian buatan Vietnam semakin dikenal karena kualitas dan harga yang kompetitif.",Sedang
Rusia,Elektronik,"Pasar elektronik di Rusia sedang mengalami pertumbuhan meskipun masih rendah.",Rendah
Brazil,Kosmetik,"Pasar kosmetik Brasil berkembang dengan pesat dan banyak produk lokal yang mendapatkan pengakuan.",Sedang
Turki,Produk Herbal,"Turki memiliki banyak produk herbal tradisional yang sedang dicari di pasar internasional.",Rendah
Afrika Selatan,Furnitur,"Furnitur Afrika Selatan mulai dikenal di pasar internasional dengan desain yang unik.",Sedang
UAE,Kopi,"UAE berinvestasi dalam industri kopi untuk menarik pasar pariwisata.",Tinggi
Arab Saudi,Produk Makanan,"Pasar makanan di Arab Saudi berkembang dengan adanya permintaan produk lokal.",Sedang
Swedia,Elektronik,"Swedia menjadi pemain penting dalam industri elektronik dengan inovasi yang berkelanjutan.",Tinggi
